Judul;Penjabaran Anggaran Pendapatan Belanja Daerah;;;;;
1.01 . 1.01.02 . 17.44 . 5.2.2.02.01 ;Belanja Bahan Baku untuk Bangunan / Kegiatan Pelayanan / Kegiatan Operasi;550.290.000,00;1.090.440.000,00;540.150.000,00;98,16;"Belanja bahan bangunan dan bahan perabot pembangunan rehab rusak berat ruang belajar siswa (DAK)
Belanja bahan baku bangunan dan bahan perabot rehab rusak sedang ruang belajar (DAK 2014) di SMA 17 Bantul2 paket x 35.439.300,00 = 70.878.600,00
Belanja bahan baku bangunan dan bahan perabot rehab rusak sedang ruang belajar (DAK 2014) di SMA Muh Imogiri2 pket x 35.439.300,00 = 70.878.600,00
Belanja bahan baku bangunan dan bahan perabot rehab rusak sedang ruang belajar (DAK 2014) di SMA Muh Kasihan2 paket x 35.439.300,00 = 70.878.600,00
Belanja bahan baku bangunan dan bahan perabot rehab rusak sedang ruang belajar (DAK 2014) di SMA Muh Bantul2 paket x 35.439.300,00 = 70.878.600,00
Belanja bahan baku bangunan dan bahan perabot rehab rusak sedang ruang belajar (DAK 2014) di SMA Muh Pleret2 paket x 35.439.300,00 = 70.878.600,00
Belanja bahan baku bangunan dan bahan perabot rehab rusak sedang ruang belajar (DAK 2014) di SMA UII Banguntapan2 paket x 35.439.300,00 = 70.878.600,00
Belanja bahan baku bangunan dan bahan perabot rehab rusak sedang ruang belajar (DAK 2014) di SMA Pangudi Luhur Sdy2 paket x 35.439.300,00 = 70.878.600,00
Belanja bahan baku bangunan dan bahan perabot rehab rusak sedang ruang belajar (DAK 2014) di SMA Muh Piyungan1 paket x 35.439.300,00 = 35.439.300,00
Belanja bahan baku bangunan dan bahan perabot rehab rusak sedang ruang belajar (DAK 2014) di SMA Muh Sewon1 paket x 35.439.300,00 = 35.439.300,00
Belanja upah pekerja bangunan dan pembuatan perabot rehab rusak sedang ruang belajar (DAK 2014)16 paket x 19.082.700,00 = 305.323.200,00
Belanja bahan bangunan dan bahan perabot rehab rusak sedang ruang belajar
 (DAK 2013 di SMA Muh. 1 Bantul, SMA UII Banguntapan, SMA Pangudi Luhur, dan SMA 17 Bantul)4 paket x 35.439.300,00 = 141.757.200,00
Belanja upah pekerja bangunan dan  perabot rehab rusak sedang ruang belajar
 (DAK 2013 di SMA Muh. 1 Bantul, SMA UII Banguntapan, SMA Pangudi Luhur, dan SMA 17 Bantul)4 paket x 19.082.700,00 = 76.330.800,00
Upah pekerja bangunanUpah pekerja rehab rusak sedang/berak ruang belajar siswa (DAK 2014)0 Paket x 35.439.300,00 = 0,00
Upah pekerja rehab rusak sedang/berat ruang belajar siswa SMA Muh Bantul dan SMA UII Banguntapan (DAK 2013)0 Paket x 12.403.755,00 = 0,00
Upah pekerja rehab rusak sedang/berat ruang belajar siswa SMA Pangudiluhur dan SMA 17 Bantul (DAK 2013)0 Paket x 12.403.755,00 = 0,00"
1.01 . 1.01.02 . 17.44 . 5.2.2.03 ;Belanja Jasa Kantor ;200.000,00;200.000,00;0;0;
1.01 . 1.01.02 . 17.44 . 5.2.2.03.13 ;Belanja Dokumentasi ;200.000,00;200.000,00;0;0;Belanja dokumentasi1 ls x 200.000,00 = 200.000,00
1.01 . 1.01.02 . 17.44 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;312.500,00;312.500,00;0;0;
1.01 . 1.01.02 . 17.44 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;312.500,00;312.500,00;0;0;Belanja foto copy2,500 lembar x 125,00 = 312.500,00
1.01 . 1.01.02 . 17.44 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;6.125.000,00;6.125.000,00;0;0;
1.01 . 1.01.02 . 17.44 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;3.062.500,00;3.062.500,00;0;0;"Belanja makan minum rapat
Belanja makan minum rapat (DAK)100 orang x 17.500,00 = 1.750.000,00
Belanja MMR75 org x 17.500,00 = 1.312.500,00"
1.01 . 1.01.02 . 17.44 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;3.062.500,00;3.062.500,00;0;0;"Belanja makan minum kegiatan
Belanja makan minum kegiatan (DAK)100 orang x 17.500,00 = 1.750.000,00
Belanja MMK75 org x 17.500,00 = 1.312.500,00"
1.01 . 1.01.02 . 17.44 . 5.2.2.15 ;Belanja Perjalanan Dinas ;3.900.000,00;3.900.000,00;0;0;
1.01 . 1.01.02 . 17.44 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;3.900.000,00;3.900.000,00;0;0;"Biaya perjalanan dinas dalam kabupaten
Golongan 440 oj x 50.000,00 = 2.000.000,00
Golongan 340 oj x 40.000,00 = 1.600.000,00
Golongan 210 oj x 30.000,00 = 300.000,00"
1.01 . 1.01.02 . 17.44 . 5.2.3 ;Belanja Modal ;581.250.000,00;1.071.948.000,00;490.698.000,00;84,42;
1.01 . 1.01.02 . 17.44 . 5.2.3.26 ;Belanja Modal Pengadaan Konstruksi/Pembelian Bangunan;581.250.000,00;1.071.948.000,00;490.698.000,00;84,42;
1.01 . 1.01.02 . 17.44 . 5.2.3.26.16 ;Belanja Modal Pengadaan Konstruksi/Pembelian Gedung Pendidikan;581.250.000,00;1.071.948.000,00;490.698.000,00;84,42;"Belanja modal rehab rusak ringan, rusak sedang, dan rusak berat ruang kelas (DID)
Belanja modal rehab rusak ringan, rusak sedang, dan atau rusak berat ruang kelas termasuk rehab perabot kelas (DID)- SMA N 1 Imogiri ( 3 paket )- SMA N 1 Pajangan ( 2 paket )- SMA N 1 Sedayu ( 2 Paket )- SMA N 1 Piyungan ( 2 paket )9 paket x 60.000.000,00 = 540.000.000,00Honor PPK (DID)1 org x 700.000,00 = 700.000,00
Honor penaitia pengadaan1 org/bjj x 1.500.000,00 = 1.500.000,00Honor penerima/pemeriksa barang1 org/bjj x 2.250.000,00 = 2.250.000,00
Honor perencana dan pengawas bangunan/tim teknis bangunan (DID)9 paket x 2.500.000,00 = 22.500.000,00Honor tim survei dan analisis kerusakan1 org/bjj x 2.500.000,00 = 2.500.000,00
Belanja MMR200 org x 17.500,00 = 3.500.000,00Belanja MMK200 org x 17.500,00 = 3.500.000,00
Honor narasumber sosialisasi4 org x 300.000,00 = 1.200.000,00
Honor moderator sosialisasi4 org x 150.000,00 = 600.000,00
Perjalanan dinas golongan 430 org x 50.000,00 = 1.500.000,00
Perjalanan dinas golongan 330 org x 40.000,00 = 1.200.000,00
Perjalanan dinas golongan 210 org x 30.000,00 = 300.000,00
Belanja modal rehab rusak ringan, rusak sedang, dan rusak berat ruang kelas (DAK 2014)
Belanja bahan baku bangunan dan perabot untuk rehab rusak ringan/sedang ruang kelas di SMAN 1 Banguntapan (DAK 2014)2 paket x 35.439.300,00 = 70.878.600,00
Belanja upah pekerja rehab rusak ringan/sedang ruang kelas di SMA 1 Banguntapan2 paket x 19.082.700,00 = 38.165.400,00
Belanja bahan bangunan dan perabot untuk rehap rusak ringan/sedang ruang kelas di SMA N 2 Banguntapan (DAK 2014)2 paket x 35.439.300,00 = 70.878.600,00
Belanja upah pekerja rehab rusak ringan/sedang ruang kelas di SMA N 2 Banguntapan2 Paket x 19.082.700,00 = 38.165.400,00
Belanja bahan bangunan dan perabot untuk rehap rusak ringan/sedang ruang kelas di SMA N  1 Dlingo (DAK 2014)2 paket x 35.439.300,00 = 70.878.600,00
Belanja upah pekerja rehab rusak ringan/sedang ruang kelas di SMA N 1 Dlingo2 Paket x 19.082.700,00 = 38.165.400,00
Belanja bahan bangunan dan perabot untuk rehap rusak ringan/sedang ruang kelas di SMA N  1 Pajangan  (DAK 2014)2 paket x 35.439.300,00 = 70.878.600,00
Belanja upah pekerja rehab rusak ringan/sedang ruang kelas di SMA N 1 Pajangan2 paket x 19.082.700,00 = 38.165.400,00
Belanja bahan bangunan dan perabot untuk rehap rusak ringan/sedang ruang kelas di SMA N  3 Bantul  (DAK 2014)1 paket x 35.439.300,00 = 35.439.300,00
Belanja upah pekerja rehab rusak ringan/sedang ruang kelas di SMA N 3 Bantul1 paket x 19.082.700,00 = 19.082.700,00"
1.01 . 1.01.02 . 17.45 ;Rehabilitasi Sedang/Berat Ruang Guru Sekolah ;440.515.000,00;734.095.000,00;293.580.000,00;66,64;Sumber Dana : 
1.01 . 1.01.02 . 17.45 . 5.2.1 ;Belanja Pegawai ;1.200.000,00;1.200.000,00;0;0;
1.01 . 1.01.02 . 17.45 . 5.2.1.01 ;Honorarium PNS ;1.200.000,00;1.200.000,00;0;0;
1.01 . 1.01.02 . 17.45 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;1.200.000,00;1.200.000,00;0;0;Honor panitia pelaksana kegiatan1 tim/bjj x 1.200.000,00 = 1.200.000,00
1.01 . 1.01.02 . 17.45 . 5.2.3 ;Belanja Modal ;439.315.000,00;732.895.000,00;293.580.000,00;66,83;
1.01 . 1.01.02 . 17.45 . 5.2.3.26 ;Belanja Modal Pengadaan Konstruksi/Pembelian Bangunan;439.315.000,00;732.895.000,00;293.580.000,00;66,83;
1.01 . 1.01.02 . 17.45 . 5.2.3.26.16 ;Belanja Modal Pengadaan Konstruksi/Pembelian Gedung Pendidikan;439.315.000,00;732.895.000,00;293.580.000,00;66,83;"Belanja modal pengadaan Konstruksi/Pembelian Gedung Pendidikan (DID)
Rehabilitasi ruang guru beserta perabotnya SMAN Sanden (DID)1 paket x 275.000.000,00 = 275.000.000,00
Belanja modal rehab rusak sedang/rusak berat ruang guru beserta perabotnya SMAN Bambanglipuro (DID)
1 paket x 150.000.000,00 = 150.000.000,00
Honor PPK1 org x 575.000,00 = 575.000,00
Honor panitia pengadaan barang konstruksi1 org/bjj x 1.500.000,00 = 1.500.000,00
Honor penerima barang1 org/bjj x 675.000,00 = 675.000,00
Honor perencana dan pengawas1 org x 3.500.000,00 = 3.500.000,00
Honor narasumber4 org x 300.000,00 = 1.200.000,00
Honor moderator4 org x 150.000,00 = 600.000,00
Belanja MMK60 org x 17.500,00 = 1.050.000,00Belanja MMR30 org x 17.500,00 = 525.000,00
ATK1 keg x 350.000,00 = 350.000,00
Perjalanan dinas golongan 420 org x 50.000,00 = 1.000.000,00
Perjalanan dinas golongan 315 org x 40.000,00 = 600.000,00
Perjalanan dias golongan 28 org x 30.000,00 = 240.000,00
Honor monev10 org x 250.000,00 = 2.500.000,00
Belanja Modal Pembangunan Ruang Penunjang/Ruang Guru SMA N 1 Jetis (DAK)
Upah Pekerja Pembangunan Ruang Penunjang/Ruang Guru SMA N 1 Jetis1 paket x 102.753.000,00 = 102.753.000,00
Belanja Bahan Material Pembangunan Ruang Penunjang/Ruang Guru SMA N 1 Jetis1 paket x 190.827.000,00 = 190.827.000,00"
1.01 . 1.01.02 . 17.48 ;Rehabilitasi Sedang/Berat Sarana Olahraga ;72.602.500,00;72.602.500,00;0;0;"Sumber Dana : 
Lokasi Kegiatan : Kab. Bantul"
1.01 . 1.01.02 . 17.48 . 5.2.1 ;Belanja Pegawai ;900.000,00;900.000,00;0;0;
1.01 . 1.01.02 . 17.48 . 5.2.1.01 ;Honorarium PNS ;900.000,00;900.000,00;0;0;
1.01 . 1.01.02 . 17.48 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;900.000,00;900.000,00;0;0;Honor panitia1 tim/bjj x 900.000,00 = 900.000,00
1.01 . 1.01.02 . 17.48 . 5.2.2 ;Belanja Barang dan Jasa ;820.000,00;820.000,00;0;0;
1.01 . 1.01.02 . 17.48 . 5.2.2.15 ;Belanja Perjalanan Dinas ;820.000,00;820.000,00;0;0;
1.01 . 1.01.02 . 17.48 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;820.000,00;820.000,00;0;0;"Belanja perjalanan dinas dalam daerah
Golongan 48 org x 50.000,00 = 400.000,00
Golongan 36 org x 40.000,00 = 240.000,00
Golongan 26 org x 30.000,00 = 180.000,00"
1.01 . 1.01.02 . 17.48 . 5.2.3 ;Belanja Modal ;70.882.500,00;70.882.500,00;0;0;
1.01 . 1.01.02 . 17.48 . 5.2.3.01 ;Belanja Modal Pengadaan Tanah ;70.882.500,00;70.882.500,00;0;0;
1.01 . 1.01.02 . 17.48 . 5.2.3.01.23 ;Belanja Modal Pengadaan Tanah Sarana Stadion Olahraga;70.882.500,00;70.882.500,00;0;0;"Belanja tanah urug untuk perbaikan lapangan sekolah (DID)
Belanja modal pembelian tanah urug  lapangan olahraga di sekolah (DID)1 keg x 65.000.000,00 = 65.000.000,00
Honor pejabat pembuat komitmen1 org x 400.000,00 = 400.000,00
Honor pejabat pengadaan1 org x 400.000,00 = 400.000,00
Honor panitia penerima barang1 org/bjj x 750.000,00 = 750.000,00
Honor tim teknis/pengawas bangunan/pekerjaan1 org x 500.000,00 = 500.000,00
Belanja ATK1 keg x 350.000,00 = 350.000,00
Belanja MMR75 org x 17.500,00 = 1.312.500,00
Perjalanan dinas golongan 48 org x 50.000,00 = 400.000,00
Perjalanan dinas golongan 36 org x 40.000,00 = 240.000,00
Perjalanan dinas golongan 26 org x 30.000,00 = 180.000,00
Honor narasumber sosialisasi3 org x 300.000,00 = 900.000,00
Honor moderator sosialisasi3 org x 150.000,00 = 450.000,00"
1.01 . 1.01.02 . 17.49 ;Rehabilitasi Sedang/Berat Ruang Serba Guna/Aula;514.867.500,00;514.867.500,00;0;0;"Sumber Dana :
 Lokasi Kegiatan : Kab. Bantul"
1.01 . 1.01.02 . 17.49 . 5.2.1 ;Belanja Pegawai ;1.250.000,00;1.250.000,00;0;0;
1.01 . 1.01.02 . 17.49 . 5.2.1.01 ;Honorarium PNS ;1.250.000,00;1.250.000,00;0;0;
1.01 . 1.01.02 . 17.49 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;1.250.000,00;1.250.000,00;0;0;"Honor panitia pelaksana
Honor panitia pelaksana kegiatan1 tim/bjj x 1.250.000,00 = 1.250.000,00"
1.01 . 1.01.02 . 17.49 . 5.2.3 ;Belanja Modal ;513.617.500,00;513.617.500,00;0;0;
1.01 . 1.01.02 . 17.49 . 5.2.3.26 ;Belanja Modal Pengadaan Konstruksi/Pembelian Bangunan;513.617.500,00;513.617.500,00;0;0;
1.01 . 1.01.02 . 17.49 . 5.2.3.26.16 ;Belanja Modal Pengadaan Konstruksi/Pembelian Gedung Pendidikan;513.617.500,00;513.617.500,00;0;0;"Belanja modal pengadaan Konstruksi/Pembelian Gedung PendidikanRehabilitasi ruang serbaguna/aula SMAN 1 Banguntapan (DID)1 paket x 500.000.000,00 = 500.000.000,00
Honor PPK1 org x 575.000,00 = 575.000,00
Honor panitia pengadaan1 tim/bjj x 1.500.000,00 = 1.500.000,00
Honor penerima barang1 tim/bjj x 675.000,00 = 675.000,00
Honor perencana bangunan1 org x 3.000.000,00 = 3.000.000,00
Honor pengawas bangunan1 org x 2.000.000,00 = 2.000.000,00
Honor narasumber3 org x 300.000,00 = 900.000,00
Honor moderator3 org x 150.000,00 = 450.000,00
Belanja MMK sosialisasi50 org x 17.500,00 = 875.000,00
Belanja MMR35 org x 17.500,00 = 612.500,00
Honor tim monev6 org x 250.000,00 = 1.500.000,00
Perjalanan dinas golongan 412 org x 50.000,00 = 600.000,00
Perjalanan dinas golongan 310 org x 40.000,00 = 400.000,00
Perjalanan dinas golongan 26 org x 30.000,00 = 180.000,00
ATK1 keg x 350.000,00 = 350.000,00"
1.01 . 1.01.02 . 17.58 ;Pelatihan Penyusunan Kurikulum ;1.159.425.000,00;326.575.050,00;-832.849.950,00;-71,83;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kab. Bantul"
1.01 . 1.01.02 . 17.58 . 5.2.1 ;Belanja Pegawai ;2.500.000,00;7.000.000,00;4.500.000,00;180;
1.01 . 1.01.02 . 17.58 . 5.2.1.01 ;Honorarium PNS ;2.500.000,00;7.000.000,00;4.500.000,00;180;
1.01 . 1.01.02 . 17.58 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;2.500.000,00;7.000.000,00;4.500.000,00;180;"Honor panitia
Honor panitia pelaksana kegiatan Workshop Kur 13 Guru SMA/K1 keg x 3.500.000,00 = 3.500.000,00
Honor panitia pelaksanaan kegiatan workshop kur 13 pengawas SMA/K1 keg x 3.500.000,00 = 3.500.000,00"
1.01 . 1.01.02 . 17.58 . 5.2.2 ;Belanja Barang dan Jasa ;1.156.925.000,00;319.575.050,00;-837.349.950,00;-72,38;
1.01 . 1.01.02 . 17.58 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;132.750.000,00;65.590.000,00;-67.160.000,00;-50,59;
1.01 . 1.01.02 . 17.58 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;132.750.000,00;65.590.000,00;-67.160.000,00;-50,59;"Belanja ATKBelanja ATK kegiatan2 keg x 1.520.000,00 = 3.040.000,00
Belanja ATK peserta workshop Guru SMA/K Kur 13600 org x 98.500,00 = 59.100.000,00
Belanja ATK Peserta Work Shop Kur 13 Pengawas SMA/K30 org x 115.000,00 = 3.450.000,00"
1.01 . 1.01.02 . 17.58 . 5.2.2.03 ;Belanja Jasa Kantor ;94.250.000,00;53.730.000,00;-40.520.000,00;-42,99;
1.01 . 1.01.02 . 17.58 . 5.2.2.03.08 ;Belanja Sertifikasi ;1.750.000,00;630.000,00;-1.120.000,00;-64;Belanja sertifikat630 lbr x 1.000,00 = 630.000,00
1.01 . 1.01.02 . 17.58 . 5.2.2.03.12 ;Belanja Transportasi dan Akomodasi ;92.500.000,00;53.100.000,00;-39.400.000,00;-42,59;"Belanja transportasi peserta
Belanja transportasi peserta workshop kur 13  Guru SMA/K (600 org x 2 hr x Rp 40.000)1,200 org x 40.000,00 = 48.000.000,00
Belanja transportasi peserta Workshop Kur 13 pengawas SMA/K ( 2 hr x 30 orang)60 org x 40.000,00 = 2.400.000,00
Belanja akomodasiBelanja akomodasi kegiatan workshop kur 13 guru SMA/SMK1 keg x 1.500.000,00 = 1.500.000,00
Belanja akomodasi kegiatan workshop kur 13 pengawas SMA/SMK1 keg x 1.200.000,00 = 1.200.000,00"
1.01 . 1.01.02 . 17.58 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;4.500.000,00;9.070.050,00;4.570.050,00;101,56;
1.01 . 1.01.02 . 17.58 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;4.500.000,00;9.070.050,00;4.570.050,00;101,56;"Belanja fotocopy
Belanja penggandaan/fotocopy workshop kur 13 guru SMA/K55,000 lbr x 150,00 = 8.250.000,00
Belanja penggandaan/fotocopy workshop kur 13 pengawas5,467 lbr x 150,00 = 820.050,00"
1.01 . 1.01.02 . 17.58 . 5.2.2.07 ;Belanja Sewa Rumah/Gedung/Gudang/Parkir ;0;2.000.000,00;2.000.000,00;0;
1.01 . 1.01.02 . 17.58 . 5.2.2.07.03 ;Belanja Sewa Ruang Rapat/Pertemuan ;0;2.000.000,00;2.000.000,00;0;Sewa ruang pertemuan4 keg x 500.000,00 = 2.000.000,00
1.01 . 1.01.02 . 17.58 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;877.625.000,00;171.525.000,00;-706.100.000,00;-80,46;
1.01 . 1.01.02 . 17.58 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;2.625.000,00;4.025.000,00;1.400.000,00;53,33;"Makan minum rapat
Belanja makan minum rapat work shop  Kur 13 Guru150 org x 17.500,00 = 2.625.000,00
Belanja makan minum rapat workshop kur 13 pengawas80 org x 17.500,00 = 1.400.000,00"
1.01 . 1.01.02 . 17.58 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;875.000.000,00;167.500.000,00;-707.500.000,00;-80,86;"Belanja makan minum kegiatan peserta dan panitia
Belanja makan minum peserta dan panitia1,250 org x 125.000,00 = 156.250.000,00
Belanja makan minum peserta workshop kur 13 pengawas dan panitia90 0rg x 125.000,00 = 11.250.000,00"
1.01 . 1.01.02 . 17.58 . 5.2.2.15 ;Belanja Perjalanan Dinas ;7.800.000,00;1.060.000,00;-6.740.000,00;-86,41;
1.01 . 1.01.02 . 17.58 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;7.800.000,00;1.060.000,00;-6.740.000,00;-86,41;"Belanja perjalanan dinas dalam daerah dalam DIYGolongan 44 org x 70.000,00 = 280.000,00
Golongan 313 org x 60.000,00 = 780.000,00
Golongan 20 org x 50.000,00 = 0,00"
1.01 . 1.01.02 . 17.58 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;40.000.000,00;16.600.000,00;-23.400.000,00;-58,5;
1.01 . 1.01.02 . 17.58 . 5.2.2.34.01 ;Honorarium Nara Sumber/Moderator/Tenaga Ahli ;40.000.000,00;16.600.000,00;-23.400.000,00;-58,5;"Honor narasumber
Honor narasumber kurikulum 2013 Workshop Guru (30 org x 250.000,00 = 7.500.000,00
Honor narasumber workshop kur 13 untuk pengawas6 org x 250.000,00 = 1.500.000,00
Honor monitoring dan evaluasi keg Guru kur 1390 org x 50.000,00 = 4.500.000,00
Honor Operator KelasOperator kelas 15 kelas Guru Kur 1330 org x 40.000,00 = 1.200.000,00
Operator kelas 2 kelas Pengawas kur 134 org x 50.000,00 = 200.000,00
Honor Pendamping KelasHonor Pendamping 15 Kelas Guru kur 13 ( 2 hari )30 org x 50.000,00 = 1.500.000,00
Honor Pendamping 2 kls Pengawas kur 13 (2 hari)4 org x 50.000,00 = 200.000,00"
1.01 . 1.01.02 . 17.63 ;Penyelenggaraan Paket C Setara SMU ;149.400.000,00;149.400.000,00;0;0;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 17.63 . 5.2.1 ;Belanja Pegawai ;101.530.000,00;101.530.000,00;0;0;
1.01 . 1.01.02 . 17.63 . 5.2.1.01 ;Honorarium PNS ;730.000,00;730.000,00;0;0;
1.01 . 1.01.02 . 17.63 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;730.000,00;730.000,00;0;0;Honorarium pelaksana kegiatan1 keg x 730.000,00 = 730.000,00
1.01 . 1.01.02 . 17.63 . 5.2.1.02 ;Honorarium Non PNS ;100.800.000,00;100.800.000,00;0;0;
1.01 . 1.01.02 . 17.63 . 5.2.1.02.02 ;Honorarium Pegawai Honorer/Tidak Tetap ;100.800.000,00;100.800.000,00;0;0;Honorarium Pegawai Honorer/Tidak Tetap672 org x 150.000,00 = 100.800.000,00
1.01 . 1.01.02 . 17.63 . 5.2.2 ;Belanja Barang dan Jasa ;47.870.000,00;47.870.000,00;0;0;
1.01 . 1.01.02 . 17.63 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;1.510.000,00;1.510.000,00;0;0;
1.01 . 1.01.02 . 17.63 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;1.510.000,00;1.510.000,00;0;0;Belanja Alat Tulis Kantor1 keg x 1.510.000,00 = 1.510.000,00
1.01 . 1.01.02 . 17.63 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;450.000,00;450.000,00;0;0;
1.01 . 1.01.02 . 17.63 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;450.000,00;450.000,00;0;0;Belanja Penggandaan/Fotocopy3,000 lembar x 150,00 = 450.000,00
1.01 . 1.01.02 . 17.63 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;1.750.000,00;1.750.000,00;0;0;
1.01 . 1.01.02 . 17.63 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;1.750.000,00;1.750.000,00;0;0;Belanja Makan dan Minum Rapat100 box x 17.500,00 = 1.750.000,00
1.01 . 1.01.02 . 17.63 . 5.2.2.15 ;Belanja Perjalanan Dinas ;4.160.000,00;4.160.000,00;0;0;
1.01 . 1.01.02 . 17.63 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;4.160.000,00;4.160.000,00;0;0;"Belanja Perjalanan Dinas Dalam Daerah (Propinsi)
Belanja Perjalanan Dinas Dalam Daerah Gol. IV18 or x 70.000,00 = 1.260.000,00
Belanja Perjalanan Dinas Dalam Daerah Gol. III12 or x 60.000,00 = 720.000,00
Belanja Perjalanan Dinas Dalam Daerah Gol. II10 or x 50.000,00 = 500.000,00
Belanja Perjalanan Dinas Dalam Daerah (Kabupaten)
Belanja Perjalanan Dinas Dalam Daerah Gol. IV18 or x 50.000,00 = 900.000,00
Belanja Perjalanan Dinas Dalam Daerah Gol. III12 or x 40.000,00 = 480.000,00
Belanja Perjalanan Dinas Dalam Daerah Gol. II10 or x 30.000,00 = 300.000,00"
1.01 . 1.01.02 . 17.63 . 5.2.2.30 ;Belanja Operasional Pendidikan ;40.000.000,00;40.000.000,00;0;0;
1.01 . 1.01.02 . 17.63 . 5.2.2.30.06 ;Belanja Operasional Pendidikan Kejar Paket ;40.000.000,00;40.000.000,00;0;0;Belanja operasional Pendidikan Kejar Paket C8 lembaga x 5.000.000,00 = 40.000.000,00
1.01 . 1.01.02 . 17.66 ;Peningkatan Kerjasama Dengan Dunia Usaha dan Dunia Indutri ;264.612.500,00;264.612.500,00;0;0;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kab. Bantul"
1.01 . 1.01.02 . 17.66 . 5.2.1 ;Belanja Pegawai ;2.250.000,00;2.250.000,00;0;0;
1.01 . 1.01.02 . 17.66 . 5.2.1.01 ;Honorarium PNS ;2.250.000,00;2.250.000,00;0;0;
1.01 . 1.01.02 . 17.66 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;2.250.000,00;2.250.000,00;0;0;Honor panitia1 tim/bjj x 2.250.000,00 = 2.250.000,00
1.01 . 1.01.02 . 17.66 . 5.2.2 ;Belanja Barang dan Jasa ;262.362.500,00;262.362.500,00;0;0;
1.01 . 1.01.02 . 17.66 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;400.000,00;400.000,00;0;0;
1.01 . 1.01.02 . 17.66 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;400.000,00;400.000,00;0;0;Belanja ATK1 keg x 400.000,00 = 400.000,00
1.01 . 1.01.02 . 17.66 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;300.000,00;300.000,00;0;0;
1.01 . 1.01.02 . 17.66 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;300.000,00;300.000,00;0;0;Belanja fotocopy2,000 lbr x 150,00 = 300.000,00
1.01 . 1.01.02 . 17.66 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;1.312.500,00;1.312.500,00;0;0;
1.01 . 1.01.02 . 17.66 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;1.312.500,00;1.312.500,00;0;0;Belanja makan minum rapat75 doz x 17.500,00 = 1.312.500,00
1.01 . 1.01.02 . 17.66 . 5.2.2.15 ;Belanja Perjalanan Dinas ;10.350.000,00;10.350.000,00;0;0;
1.01 . 1.01.02 . 17.66 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;5.100.000,00;5.100.000,00;0;0;"Perajalanan dinas dalam daerahGolongan 450 org x 50.000,00 = 2.500.000,00
Golongan 350 org x 40.000,00 = 2.000.000,00
Golongan 220 org x 30.000,00 = 600.000,00"
1.01 . 1.01.02 . 17.66 . 5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;5.250.000,00;5.250.000,00;0;0;Perjalanan dinas luar daerahGolongan 4 dan atau 33 org x 1.750.000,00 = 5.250.000,00
1.01 . 1.01.02 . 17.66 . 5.2.2.30 ;Belanja Operasional Pendidikan ;250.000.000,00;250.000.000,00;0;0;
