Judul,PENJABARAN APenjabaran Anggaran Pendaptan dan Belanja DaerahPBD,,
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 2 . 36 . 02,Honorarium Peserta Rapat/Sosialisasi,4800000,"APBD 
Honorarium Peserta Konggres Anak120 Org x 40.000,00 = 4.800.000,00"
1.25 . 1.12.01 . 18,Program kerjasama informasi dengan mas media,10000000,
1.25 . 1.12.01 . 18 . 04,Sosialisasi Program Kegiatan SKPD Melalui Media Massa,10000000,"Sumber Dana : APBD
Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Talk show dan liputan kegiatan melalui media masa
Target : 15 frekuensi"
1.25 . 1.12.01 . 18 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,10000000,
1.25 . 1.12.01 . 18 . 04 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,1500000,
1.25 . 1.12.01 . 18 . 04 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,1500000,"APBD
 Belanja alat tulis kantor1 ls x 1.500.000,00 = 1.500.000,00"
1.25 . 1.12.01 . 18 . 04 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,8500000,
1.25 . 1.12.01 . 18 . 04 . 5 . 2 . 2 . 03 . 15,Belanja Publikasi,8500000,"APBD
 Belanja publikasi media masa17 frek x 500.000,00 = 8.500.000,00"
1.12 . 1.12.01 . 18,Program pembinaan peran serta masyarakat dalam pelayanan KB/KR yang mandiri,52550000,
1.12 . 1.12.01 . 18 . 04,Pendampingan Forum IMP,45550000,"Sumber Dana : APBD
Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Terkoordinasinya rencana dan kegiatan program KBKR
Target : 1.430 orang"
1.12 . 1.12.01 . 18 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,45550000,
1.12 . 1.12.01 . 18 . 04 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,775000,
1.12 . 1.12.01 . 18 . 04 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,775000,"APBD
 Belanja Alat Tulis KantorBelanja ATK1 pkt x 775.000,00 = 775.000,00"
1.12 . 1.12.01 . 18 . 04 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,15975000,
1.12 . 1.12.01 . 18 . 04 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,15975000,"APBD 
Belanja makanan dan minuman pelaksanaan kegiatan
Makan, minum, snack Forum IMP300 or x 25.000,00 = 7.500.000,00
Minum dan snack Forum IMP Kec.680 or x 7.500,00 = 5.100.000,00
Minum dan snack Pemantapan IMP450 or x 7.500,00 = 3.375.000,00"
1.12 . 1.12.01 . 18 . 04 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",28800000,
1.12 . 1.12.01 . 18 . 04 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,28800000,"APBD 
Honorarium narasumberpenyaji materi pendam[pingan forum IMP kab.24 or x 150.000,00 = 3.600.000,00
Pemaji materi pemantapan IMP18 or x 150.000,00 = 2.700.000,00
Honorarium harianTransport peserta forum Kab.300 or x 30.000,00 = 9.000.000,00
Transport peserta pemantapan IMP450 or x 30.000,00 = 13.500.000,00"
1.12 . 1.12.01 . 18 . 06, Penguatan IPeKB,7000000,"Sumber Dana : APBD
Lokasi Kegiatan : Fasilitasi Penguatan IPeKB
Keluaran : Terkoodinirnya rencana kegiatan IPeKB
Target : 75 orang"
1.12 . 1.12.01 . 18 . 06 . 5 . 2 . 1,Belanja Pegawai,0,
1.12 . 1.12.01 . 18 . 06 . 5 . 2 . 1 . 01,Honorarium PNS,0,
1.12 . 1.12.01 . 18 . 06 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,0,"APBD 
Honorarium Panitia Pelaksana Kegiatan
Ketua0 or x 200.000,00 = 0,00
Sekretaris0 or x 150.000,00 = 0,00
Anggota0 or x 100.000,00 = 0,00"
1.12 . 1.12.01 . 18 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,7000000,
1.12 . 1.12.01 . 18 . 06 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,500000,
1.12 . 1.12.01 . 18 . 06 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,500000,"APBD
 Belanja Alat Tulis KantorBelanja ATK1 pkt x 500.000,00 = 500.000,00"
1.12 . 1.12.01 . 18 . 06 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,1000000,
1.12 . 1.12.01 . 18 . 06 . 5 . 2 . 2 . 03 . 13,Belanja Dokumentasi,0,"APBD
 Belanja dokumentasiDokumentasi0 pkt x 500.000,00 = 0,00"
1.12 . 1.12.01 . 18 . 06 . 5 . 2 . 2 . 03 . 14,Belanja Dekorasi,1000000,"APBD
 Belanja dekorasiDekorasi1 pkt x 1.000.000,00 = 1.000.000,00"
1.12 . 1.12.01 . 18 . 06 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,0,
1.12 . 1.12.01 . 18 . 06 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,0,"APBD
 Belanja penggandaanFoto copy materi0 pkt x 3.000,00 = 0,00"
1.12 . 1.12.01 . 18 . 06 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,2250000,
1.12 . 1.12.01 . 18 . 06 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,2250000,"APBD
 Belanja makanan dan minuman pelaksanaan kegiatanmakan das minum90 or x 25.000,00 = 2.250.000,00"
1.12 . 1.12.01 . 18 . 06 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",1000000,
1.12 . 1.12.01 . 18 . 06 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,1000000,"APBD 
Honorarium narasumberPenyaji materi4 or x 250.000,00 = 1.000.000,00"
1.12 . 1.12.01 . 18 . 06 . 5 . 2 . 2 . 36,Belanja Jasa Transport Petugas/Peserta,2250000,
1.12 . 1.12.01 . 18 . 06 . 5 . 2 . 2 . 36 . 02,Honorarium Peserta Rapat/Sosialisasi,2250000,"APBD
 Honor Peserta rapat75 org x 30.000,00 = 2.250.000,00"
1.11 . 1.12.01 . 19,Program penguatan kelembagaan pengarusutamaan gender dan anak,14980000,
1.11 . 1.12.01 . 19 . 08,Pengembangan Sistem Informasi Gender dan Anak,14980000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Tersedianya Data pilah gender dan anak
Target : 1 dokumen"
1.11 . 1.12.01 . 19 . 08 . 5 . 2 . 1,Belanja Pegawai,4890000,
1.11 . 1.12.01 . 19 . 08 . 5 . 2 . 1 . 01,Honorarium PNS,4890000,
1.11 . 1.12.01 . 19 . 08 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,4890000,"APBD
 Honorarium Panitia Pelaksana KegiatanPembina1 or x 200.000,00 = 200.000,00
ketua1 or x 180.000,00 = 180.000,00
ketua1 or x 160.000,00 = 160.000,00
sekretaris1 or x 150.000,00 = 150.000,00
anggota30 or x 140.000,00 = 4.200.000,00"
1.11 . 1.12.01 . 19 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,10090000,
1.11 . 1.12.01 . 19 . 08 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,1645000,
1.11 . 1.12.01 . 19 . 08 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,1645000,"APBD
 belanja alat tulis kantor1 ls x 1.645.000,00 = 1.645.000,00"
1.11 . 1.12.01 . 19 . 08 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,5750000,
1.11 . 1.12.01 . 19 . 08 . 5 . 2 . 2 . 06 . 01,Belanja Cetak,3750000,"APBD 
Belanja Cetak75 buku x 50.000,00 = 3.750.000,00"
1.11 . 1.12.01 . 19 . 08 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,2000000,"APBD
 Fotocopy Kegiatan1 ls x 2.000.000,00 = 2.000.000,00"
1.11 . 1.12.01 . 19 . 08 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,1995000,
1.11 . 1.12.01 . 19 . 08 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,1995000,"APBD 
Belanja Makanan dan MinumanBelanja Makan Minum snack Rapat70 or x 28.500,00 = 1.995.000,00"
1.11 . 1.12.01 . 19 . 08 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,700000,
1.11 . 1.12.01 . 19 . 08 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,700000,"APBD 
Belanja Perjalanan Dinas Dalam Daerah Ke ProvinsiGol IV : 2or x5x7000010 or x 70.000,00 = 700.000,00"
1.12 . 1.12.01 . 23,Program penyiapan tenaga pedamping kelompok bina keluarga,168230000,
1.12 . 1.12.01 . 23 . 01,Pelatihan tenaga pedamping kelompok bina keluarga di kecamatan,29025000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : TPPKK Kecamatan, PKK Desa dan Kesra
Target : 51 Kader"
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 1,Belanja Pegawai,0,
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 1 . 01,Honorarium PNS,0,
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,0,"APBD
 Honor Panitia Pelaksana Kegiatan
Ketua0 Org x 150.000,00 = 0,00
Sekretaris0 Org x 125.000,00 = 0,00
Anggota0 Org x 100.000,00 = 0,00"
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,29025000,
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,3400000,
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,3295000,"APBD
 Belanja Alat Tulis Kantor
ATK Kegiatan1 Pkt x 1.000.000,00 = 1.000.000,00
ATK Pelatihan51 Buah x 45.000,00 = 2.295.000,00"
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 2 . 01 . 04,"Belanja Perangko, Materai Dan Benda Pos",105000,"APBD
 Belanja Materai
Materai 300015 Lbr x 3.000,00 = 45.000,00
Materai 600010 Lbr x 6.000,00 = 60.000,00"
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,350000,
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 2 . 03 . 13,Belanja Dokumentasi,350000,"APBD 
Belanja Jasa DokumentasiBelanja Dokumentasi1 Pkt x 350.000,00 = 350.000,00"
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,995000,
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 2 . 06 . 01,Belanja Cetak,433500,"APBD
 Belanja CetakCetak Sertifikat51 Lbr x 8.500,00 = 433.500,00"
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,561500,"APBD
 Belanja Penggandaan
Penggandaan Pelatihan1 Pkt x 561.500,00 = 561.500,00"
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,7900000,
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,225000,"APBD 
Belanja Makan Minum Rapat
Makan Minum Rapat Persiapan9 Org x 25.000,00 = 225.000,00"
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,7675000,"APBD
 Belanja Makan Minum Pelaksanaan kegiatanMinum Snack pelatihan Tim Pendamping204 Org x 7.500,00 = 1.530.000,00
Makan Minum Pelatihan Tenaga Pendamping204 Org x 17.500,00 = 3.570.000,00
Makan Minum Previw Pelatihan68 Org x 17.500,00 = 1.190.000,00
Snack Minum Preview Pelatihan68 Org x 7.500,00 = 510.000,00
Makan Minum Penyusunan Laporan Pelatihan Pendamping35 Oh x 25.000,00 = 875.000,00"
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",7200000,
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,7200000,"APBD
 Jasa Narasumber/Moderator/Tenaga AhliHonor Instruktur24 Jpl x 300.000,00 = 7.200.000,00"
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 2 . 36,Belanja Jasa Transport Petugas/Peserta,9180000,
1.12 . 1.12.01 . 23 . 01 . 5 . 2 . 2 . 36 . 02,Honorarium Peserta Rapat/Sosialisasi,9180000,"APBD 
Honor Peserta Pelatihan Bina Keluarga153 Org x 60.000,00 = 9.180.000,00"
1.12 . 1.12.01 . 23 . 02,Pengembangan ADITUKA ( asuhan Dini Tumbuh Kembang Anak ),18925000,"Sumber Dana : APBD
Lokasi Kegiatan : Bantul
Keluaran : Terlatihnya kader Adituka
Target : 34 Kader"
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 1,Belanja Pegawai,0,
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 1 . 01,Honorarium PNS,0,
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,0,"APBD
 Honorarium panitia pelatihanKetua0 or x 150.000,00 = 0,00
Sekretaris0 or x 125.000,00 = 0,00
Anggota0 or x 100.000,00 = 0,00"
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,18925000,
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,4890000,
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,4800000,"APBD
 Belanja Alat Tulis Kantor
ATK Fasilitasi kegiatan1 pkt x 1.200.000,00 = 1.200.000,00
Flashdisck4 buah x 135.000,00 = 540.000,00
ATK peserta pelatihan34 oh x 90.000,00 = 3.060.000,00"
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 2 . 01 . 04,"Belanja Perangko, Materai Dan Benda Pos",90000,"APBD
 Belanja Perangko, 
materai dan benda posMaterai 10 x @3.000,-10 bh x 3.000,00 = 30.000,00
Materai 10 x @6.000,-10 bh x 6.000,00 = 60.000,00"
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,655000,
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 2 . 03 . 13,Belanja Dokumentasi,655000,"APBD
 Belanja dokumentasi1 pkt x 655.000,00 = 655.000,00"
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,700000,
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,700000,"APBD
 Belanja penggandaan
Foto copy fasilitas kegiatan1 pkt x 700.000,00 = 700.000,00"
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,3500000,
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,500000,"APBD 
Belanja makan minum rapat
Makan minum rapat persiapan dan evaluasi20 or x 25.000,00 = 500.000,00"
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,3000000,"APBD
 Belanja makan minum pelaksanaanMakan, minum dan snack 34 peserta120 or x 25.000,00 = 3.000.000,00"
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,1320000,
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,1320000,"APBD 
Belanja perjalanan dinas dalam daerah
Gol. IV (1 or x 6 x 45.000,-)6 or x 45.000,00 = 270.000,00
Gol. III (5 or x 6 x 35.000,-)30 or x 35.000,00 = 1.050.000,00"
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",7860000,
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,4800000,"APBD
 Honorarium narasumber
Honorarium narasumber (8 jpl x 3 hr x 200.000,-)24 jpl x 200.000,00 = 4.800.000,00"
1.12 . 1.12.01 . 23 . 02 . 5 . 2 . 2 . 35 . 05,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi,3060000,"APBD 
Transport peserta pelatihanTransport peserta (34 or x 3 hr x 30.000,-)102 oh x 30.000,00 = 3.060.000,00"
1.12 . 1.12.01 . 23 . 05,Pendampingan Forum komunikasi kader posdaya,49225000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Meningkatnya pengelolaan Posdaya
Target : 70 orang"
1.12 . 1.12.01 . 23 . 05 . 5 . 2 . 1,Belanja Pegawai,27500000,
1.12 . 1.12.01 . 23 . 05 . 5 . 2 . 1 . 01,Honorarium PNS,0,
1.12 . 1.12.01 . 23 . 05 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,0,"APBD 
Honorarium Panitia Pelaksana Kegiatan
Ketua0 or x 150.000,00 = 0,00
Sekretaris0 or x 125.000,00 = 0,00
Anggota0 or x 100.000,00 = 0,00"
1.12 . 1.12.01 . 23 . 05 . 5 . 2 . 1 . 02,Honorarium Non PNS,27500000,
1.12 . 1.12.01 . 23 . 05 . 5 . 2 . 1 . 02 . 06,Honorarium Petugas Pendamping Kegiatan,27500000,"APBD 
Honor petugas pendamping kegiatan22 or x 1.250.000,00 = 27.500.000,00"
1.12 . 1.12.01 . 23 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,21725000,
1.12 . 1.12.01 . 23 . 05 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,1560000,
1.12 . 1.12.01 . 23 . 05 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,1500000,"APBD 
Belanja Alat Tulis Kantor1 pkt x 1.500.000,00 = 1.500.000,00"
1.12 . 1.12.01 . 23 . 05 . 5 . 2 . 2 . 01 . 04,"Belanja Perangko, Materai Dan Benda Pos",60000,"APBD 
Belanja perangko, materai dan benda posBelanja materai10 lbr x 3.000,00 = 30.000,00
Belanja materai5 lbr x 6.000,00 = 30.000,00"
1.12 . 1.12.01 . 23 . 05 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,6570000,
1.12 . 1.12.01 . 23 . 05 . 5 . 2 . 2 . 06 . 01,Belanja Cetak,5250000,"APBD 
Belanja cetakCetak buku pedoman150 buku x 35.000,00 = 5.250.000,00"
1.12 . 1.12.01 . 23 . 05 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,1320000,"APBD
 Belanja penggandaanFoto copy1 pkt x 1.320.000,00 = 1.320.000,00"
1.12 . 1.12.01 . 23 . 05 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,8885000,
1.12 . 1.12.01 . 23 . 05 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,385000,"APBD 
Belanja makanan dan minuman rapat
Belanja makan dan minum rakor dan evaluasi (7 or x 2 x 25.000,-)14 or x 27.500,00 = 385.000,00"
1.12 . 1.12.01 . 23 . 05 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,8500000,"APBD 
Belanja makan dan minum pelaksanaanMinum dan snack (17 kec x 25 or x 2 kl)850 or x 10.000,00 = 8.500.000,00"
1.12 . 1.12.01 . 23 . 05 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,4710000,
1.12 . 1.12.01 . 23 . 05 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,4710000,"APBD
 Belanja perjalanan dinas dalam daerah
Gol. IV44 trip x 45.000,00 = 1.980.000,00
Gol. III78 trip x 35.000,00 = 2.730.000,00"
1.12 . 1.12.01 . 23 . 08,"Evaluasi Kegiatan Tribina ( BKB, BKR, dan BKL ) dan POSDAYA",24530000,"Sumber Dana : APBD
Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Terwujudnya para juara Tribina dan Posdaya
Target : 24 kelompok"
1.12 . 1.12.01 . 23 . 08 . 5 . 2 . 1,Belanja Pegawai,0,
1.12 . 1.12.01 . 23 . 08 . 5 . 2 . 1 . 01,Honorarium PNS,0,
1.12 . 1.12.01 . 23 . 08 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,0,"APBD
 Honorarium panitia pelaksana kegiatanKetua0 or x 150.000,00 = 0,00
Sekretaris0 or x 100.000,00 = 0,00Anggota0 or x 90.000,00 = 0,00"
1.12 . 1.12.01 . 23 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,24530000,
1.12 . 1.12.01 . 23 . 08 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,530000,
1.12 . 1.12.01 . 23 . 08 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,530000,"APBD 
Belanja cetak dan penggandaanFoto copy1 pkt x 530.000,00 = 530.000,00"
1.12 . 1.12.01 . 23 . 08 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,5950000,
1.12 . 1.12.01 . 23 . 08 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,2975000,"APBD 
Belanja makan minum rapatMakan, minum rapat119 or x 25.000,00 = 2.975.000,00"
1.12 . 1.12.01 . 23 . 08 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,2975000,"APBD 
Belanja makan minum pelaksanaan kegiatan
Makan minum pelaksanaan119 or x 25.000,00 = 2.975.000,00"
1.12 . 1.12.01 . 23 . 08 . 5 . 2 . 2 . 23,Belanja Barang Untuk Diserahkan kepada Masyarakat/Pihak Ketiga,17250000,
1.12 . 1.12.01 . 23 . 08 . 5 . 2 . 2 . 23 . 01,Belanja Barang Yang Akan Diserahkan Kepada Masyarakat,17250000,"APBD
 Hadiah kategori kelompok (BKB, UPPKS, Posdaya)Juara I3 klp x 1.600.000,00 = 4.800.000,00
Juara II3 klp x 1.350.000,00 = 4.050.000,00
Juara III3 klp x 1.100.000,00 = 3.300.000,00
Hadiah peroranganJuara I3 or x 800.000,00 = 2.400.000,00
Juara II3 or x 600.000,00 = 1.800.000,00
Juara III3 or x 300.000,00 = 900.000,00"
1.12 . 1.12.01 . 23 . 08 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",800000,
1.12 . 1.12.01 . 23 . 08 . 5 . 2 . 2 . 35 . 02,Jasa Yuri Perlombaan/Pelatih,800000,"APBD
 Jasa Yuri Perlombaan/PelatihanKetua1 or x 200.000,00 = 200.000,00
Anggota4 or x 150.000,00 = 600.000,00"
1.12 . 1.12.01 . 23 . 10,Monitoring dan Evaluasi pengelolaan dana bergulir bagi kelompok Ekonomi Produktif Keluarga Pra Sejahtera dan KS I,46525000,"Sumber Dana : APBD
Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Monev Kelompok Peminjam Dana Begulir
Target : 180 orang"
1.12 . 1.12.01 . 23 . 10 . 5 . 2 . 1,Belanja Pegawai,38700000,
1.12 . 1.12.01 . 23 . 10 . 5 . 2 . 1 . 01,Honorarium PNS,38700000,
1.12 . 1.12.01 . 23 . 10 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,38700000,"APBD 
Honorarium Panitia Pelaksana KegiatanPembina4 or x 200.000,00 = 800.000,00
Wakil Pembina4 or x 190.000,00 = 760.000,00
Pengarah/Penanggungjawab4 or x 180.000,00 = 720.000,00
Ketua4 oh x 170.000,00 = 680.000,00
Sekretaris4 oh x 160.000,00 = 640.000,00
Anggota24 oh x 150.000,00 = 3.600.000,00
Anggota teknis 75 desa225 oh x 140.000,00 = 31.500.000,00"
1.12 . 1.12.01 . 23 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,7825000,
1.12 . 1.12.01 . 23 . 10 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,415000,
1.12 . 1.12.01 . 23 . 10 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,415000,"APBD 
Belanja barang dan jasaTinta HP 10061 bh x 115.000,00 = 115.000,00
Kertas HVS8 rim x 37.500,00 = 300.000,00"
1.12 . 1.12.01 . 23 . 10 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,340000,
1.12 . 1.12.01 . 23 . 10 . 5 . 2 . 2 . 03 . 13,Belanja Dokumentasi,340000,"APBD
 Belanja dokumentasiDokumentasi17 pkt x 20.000,00 = 340.000,00"
1.12 . 1.12.01 . 23 . 10 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,145000,
1.12 . 1.12.01 . 23 . 10 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,145000,"APBD
 Belanja penggandaanFoto copy1 pkt x 145.000,00 = 145.000,00"
1.12 . 1.12.01 . 23 . 10 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,3600000,
1.12 . 1.12.01 . 23 . 10 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,3600000,"APBD
 Belanja makan dan minum rapatMakan minum rapat180 ok x 20.000,00 = 3.600.000,00"
1.12 . 1.12.01 . 23 . 10 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,3325000,
1.12 . 1.12.01 . 23 . 10 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,3325000,"APBD
 Belanja perjalanan dinas dalam rangka survey kelompokGol. III95 oh x 35.000,00 = 3.325.000,00"
1.02 . 1.12.01 . 28,Program kemitraan peningkatan pelayanan kesehatan,25462000,
1.02 . 1.12.01 . 28 . 11,Pendampingan Jamkesda,25462000,"Sumber Dana : APBD
Lokasi Kegiatan : Bantul"
1.02 . 1.12.01 . 28 . 11 . 5 . 2 . 1,Belanja Pegawai,11100000,
1.02 . 1.12.01 . 28 . 11 . 5 . 2 . 1 . 02,Honorarium Non PNS,11100000,
1.02 . 1.12.01 . 28 . 11 . 5 . 2 . 1 . 02 . 06,Honorarium Petugas Pendamping Kegiatan,11100000,"APBD 
Honorarium Tenaga Ahli/Instruktur/ NarasumberHonorarium narasumber sosialisasi Jamkesda3 or x 200.000,00 = 600.000,00
Honorarium petugas pengolahan data base kepesertaan JamkesdaTk. Desa (75 or x Rp 140.000,-)75 orang x 140.000,00 = 10.500.000,00"
1.02 . 1.12.01 . 28 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,14362000,
1.02 . 1.12.01 . 28 . 11 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,2199500,
1.02 . 1.12.01 . 28 . 11 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,2199500,"APBD 
Belanja alat tulis jamkesda
Alat tulis jamkesda1 Ls x 2.199.500,00 = 2.199.500,00"
