Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,,,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,13575000," Makan, minum, snack rapat koordinasi
makan dan minum Rapat Koordinasi Bantul Expo (30 org x 4)120 oh x 15.000,00 = 1.800.000,00
snack rapat koordinasi Bantul Expo120 oh x 7.500,00 = 900.000,00
Makan minum koordinasi pameran kecamatan (17 x 2 x 20 org)680 om x 15.000,00 = 10.200.000,00
Snack koordinasi pameran kec tk kab (3 x 30 org)90 os x 7.500,00 = 675.000,00",,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 . 11 . 05 , Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,7875000," Belanja Makanan Dan Minum Pelaksana 
- makan minum tukang Bantul Expo8 om x 15.000,00 = 120.000,00
- Makan minum persiapan dan pelaksanaan karnaval100 om x 15.000,00 = 1.500.000,00
 - makan minum jaga malam Pameran Kecamatan (2 org x 3 x 17)102 om x 15.000,00 = 1.530.000,00 
- Makan minum jaga stand Pameran Kecamatan (3 or x 3 x 17)153 om x 15.000,00 = 2.295.000,00
- makan dan minum jaga stand Expo132 om x 15.000,00 = 1.980.000,00
 - makan minum jaga malam Expo22 om x 15.000,00 = 330.000,00
- Makan minum bongkar stand Expo8 om x 15.000,00 = 120.000,00",,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,3040000,,,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,3040000," Belanja Perjalanan Dinas Dalam Daerah
gol IV33 oh x 50.000,00 = 1.650.000,00
Gol III31 oh x 40.000,00 = 1.240.000,00
Gol II5 oh x 30.000,00 = 150.000,00",,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",11270000,,,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 . 35 . 01 , Jasa Nara Sumber/Moderator/Tenaga Ahli ,6020000," Honor nara sumber
Honor nara sumber sosialisasi program melalui radio4 kali x 80.000,00 = 320.000,00
 - Honor Jaga Stand Bantul Expo (12 org x 11 hari)132 oh x 20.000,00 = 2.640.000,00
- Honor Jaga Stand tk. Kecamatan(3orgx3harix17 kec.)153 orang x 20.000,00 = 3.060.000,00",,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 . 35 . 06 , Jasa Tenaga Harian Lepas ,5250000," Honorarium Tenaga Harian Lepas 
- Upah tukang Bantul Expo (2 org x 4 hari)8 oh x 50.000,00 = 400.000,00 
Honor jaga malam Bantul Expo (2 org x 11 hari)22 oh x 35.000,00 = 770.000,00
Honor jaga malam Pameran Kecamatan (2 org x 3 harix17)102 oh x 40.000,00 = 4.080.000,00",,
2.01 . 1.21.01 . 25 , Program Pengembangan Sarana dan Prasarana Kelembagaan ,25000000,,,
2.01 . 1.21.01 . 25 . 03 , Peningkatan Pendataan Dan Statistik ,25000000," Sumber Dana : 
 Lokasi Kegiatan : BKPPP
Keluaran : tersedianya data untuk penyusunan database SKPD
Target: 1 buku",,
2.01 . 1.21.01 . 25 . 03 . 5 . 2 . 1 , Belanja Pegawai ,14310000,,,
2.01 . 1.21.01 . 25 . 03 . 5 . 2 . 1 . 01 , Honorarium PNS ,14310000,,,
2.01 . 1.21.01 . 25 . 03 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,14310000," Honor Pengolah Data
Honor Pengolah Data (3 x 6 bulan)18 ob x 120.000,00 = 2.160.000,00
Honor Tim Pengambil Data
Anggota (21 x 5 bulan)105 ob x 100.000,00 = 10.500.000,00
Ketua (1 x 5 bulan)5 ob x 170.000,00 = 850.000,00
Sekretaris (1 x 5 bulan)5 ob x 160.000,00 = 800.000,00",,
2.01 . 1.21.01 . 25 . 03 . 5 . 2 . 2 , Belanja Barang dan Jasa ,10690000,,,
2.01 . 1.21.01 . 25 . 03 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,2690000,,,
2.01 . 1.21.01 . 25 . 03 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,2690000," Belanja ATK1 th x 2.690.000,00 = 2.690.000,00",,
2.01 . 1.21.01 . 25 . 03 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,1900000,,,
2.01 . 1.21.01 . 25 . 03 . 5 . 2 . 2 . 06 . 01 , Belanja Cetak ,500000," Belanja cetak
Belanja cetak buku saku50 buku x 10.000,00 = 500.000,00",,
2.01 . 1.21.01 . 25 . 03 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,1400000," Belanja Penggandaan1 ls x 1.400.000,00 = 1.400.000,00",,
2.01 . 1.21.01 . 25 . 03 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,2700000,,,
2.01 . 1.21.01 . 25 . 03 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,2700000," Makan Minum Rapat Koordinasi
makan minum (4 x 30 org x Rp 15000,-)120 om x 15.000,00 = 1.800.000,00
Snack ( 4 x 30 org x Rp6000,-)120 os x 7.500,00 = 900.000,00",,
2.01 . 1.21.01 . 25 . 03 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,3400000,,,
2.01 . 1.21.01 . 25 . 03 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,3400000," Perjalanan dalam daerah
Gol IV20 op x 50.000,00 = 1.000.000,00
Gol III60 op x 40.000,00 = 2.400.000,00",,
1.20 . 1.21.01 . 30 , Program Pengelolaan Barang Daerah ,9460000,,,
1.20 . 1.21.01 . 30 . 09 , Verifikasi dan inventarisasi barang milik daerah ,9460000,"  Sumber Dana : 
Lokasi Kegiatan : Bantul",,
1.20 . 1.21.01 . 30 . 09 . 5 . 2 . 1 , Belanja Pegawai ,4040000,,,
1.20 . 1.21.01 . 30 . 09 . 5 . 2 . 1 . 01 , Honorarium PNS ,4040000,,,
1.20 . 1.21.01 . 30 . 09 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,4040000," Honor Tim Verifikasi dan Inventarisasi Barang Milik DaerahKetua4 ob x 160.000,00 = 640.000,00
Sekretaris4 ob x 150.000,00 = 600.000,00
Anggota28 ob x 100.000,00 = 2.800.000,00",,
1.20 . 1.21.01 . 30 . 09 . 5 . 2 . 2 , Belanja Barang dan Jasa ,5420000,,,
1.20 . 1.21.01 . 30 . 09 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,1470000,,,
1.20 . 1.21.01 . 30 . 09 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,1470000," Belanja ATK1 tahun x 1.470.000,00 = 1.470.000,00",,
1.20 . 1.21.01 . 30 . 09 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,500000,,,
1.20 . 1.21.01 . 30 . 09 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,500000," Belanja foto kopi1 tahun x 500.000,00 = 500.000,00",,
1.20 . 1.21.01 . 30 . 09 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,2250000,,,
1.20 . 1.21.01 . 30 . 09 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,2250000," Belanja makanan dan minuman rapat
Belanja makanan minum100 om x 15.000,00 = 1.500.000,00
Belanja snack minum100 os x 7.500,00 = 750.000,00",,
1.20 . 1.21.01 . 30 . 09 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,1200000,,,
1.20 . 1.21.01 . 30 . 09 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,1200000," Belanja perjalanan dinas dalam daerah
Gol. IV4 op x 50.000,00 = 200.000,00
Gol. III22 op x 40.000,00 = 880.000,00
Gol. II4 op x 30.000,00 = 120.000,00",,
,SURPLUS / (DEFISIT),-10795210000,,,
